"token","value","do not translate","character limit","comment","last updated"
"instrument_options","Deluxe Settings","","","",""
"os_instrument_options","Instrument Options","","","",""
"os_gameplay","Gameplay Settings","","","",""
"os_sfx","Audio & SFX","","","",""
"os_visual","Visual Settings","","","",""
"os_track","Track Settings","","","",""
"os_controller","Controller Settings","","","",""
"os_extras","Extras","","","",""
"os_reset","Reset","","","",""
"os_song_speed","- Song Speed: %d%% +","","","",""
"os_practice_song_speed","- Practice Song Speed: %d%% +","","","",""
"os_tiltsens_on","Increased Tilt Sensitivity: ON","","","",""
"os_tiltsens_off","Increased Tilt Sensitivity: OFF","","","",""
"os_nolanes_on","No Lanes: ON","","","",""
"os_nolanes_off","No Lanes: OFF","","","",""
"os_rb3lanes_on","RB3 Lanes: ON","","","",""
"os_rb3lanes_off","RB3 Lanes: OFF","","","",""
"os_odgain_on","Overdrive Gain: ON","","","",""
"os_odgain_off","Overdrive Gain: OFF","","","",""
"os_practiceod_on","OD in Practice: ON","","","",""
"os_practiceod_off","OD in Practice: OFF","","","",""
"os_synced_speeds_on","Sync Difficulty Speeds: ON","","","",""
"os_synced_speeds_off","Sync Difficulty Speeds: OFF","","","",""
"os_calibration_mode_on","Calibration Mode: ON","","","",""
"os_calibration_mode_off","Calibration Mode: OFF","","","",""
"os_presicion_mode_on","Precision Mode: ON","","","",""
"os_presicion_mode_off","Precision Mode: OFF","","","",""
"os_autoplay_on","Autoplay: ON","","","",""
"os_autoplay_off","Autoplay: OFF","","","",""
"os_instafail_on","Insta Fail: ON","","","",""
"os_instafail_off","Insta Fail: OFF","","","",""
"os_tough_crowd_on","Tough Crowd: ON","","","",""
"os_tough_crowd_off","Tough Crowd: OFF","","","",""
"os_drunkmode_on","Drunk Mode: ON","","","",""
"os_fc_sfx","FC SFX","","","",""
"os_ingame_sfx","In-Game SFX","","","",""
"os_menumusic","Menu Music","","","",""
"os_whammy_fx_on","Whammy SFX: ON","","","",""
"os_whammy_fx_off","Whammy SFX: OFF","","","",""
"os_miss_sounds_on","Miss Sounds: ON","","","",""
"os_miss_sounds_off","Miss Sounds: OFF","","","",""
"os_muting_on","Track Muting: ON","","","",""
"os_muting_off","Track Muting: OFF","","","",""
"os_muting_partial","Track Muting: Partial","","","",""
"os_speedpitch_on","Speedup Pitch Correction: ON","","","",""
"os_speedpitch_off","Speedup Pitch Correction: OFF","","","",""
"os_default","[Default]","","","",""
"os_random","[Random]","","","",""
"os_venue","Select Venue...","","","",""
"os_venuefps_60","Venue FPS: 60","","","",""
"os_venuefps_30","Venue FPS: 30","","","",""
"os_camera_shake_on","Camera Shake: ON","","","",""
"os_camera_shake_off","Camera Shake: OFF","","","",""
"os_crowdmeter_on","Crowd Meter: VISIBLE","","","",""
"os_crowdmeter_off","Crowd Meter: HIDDEN","","","",""
"os_hud_theme","In-game HUD...","","","",""
"os_nohud_on","Performance Mode: ON","","","",""
