"token","value","do not translate","character limit","comment","last updated"
"instrument_options","Opciones Deluxe","","","debido a como se engachan overshell en rb4 necesitamos cambiar el nombre de esta string",""
"os_instrument_options","Opciones del instrumento","","","Nuevo para dx",""
"os_gameplay","Opciones del Juego","","","",""
"os_sfx","Opciones de Audio y Sfx","","","",""
"os_visual","Opciones Graficas","","","",""
"os_track","Opciones de la Pista","","","",""
"os_controller","Opciones de Control","","","",""
"os_reset","Reset","","","",""
"os_song_speed","- Song Speed: %d%% +","","","",""
"os_practice_song_speed","- Practice Song Speed: %d%% +","","","",""
"os_tiltsens_on","Increased Tilt Sensitivity: ON","","","",""
"os_tiltsens_off","Increased Tilt Sensitivity: OFF","","","",""
"os_nolanes_on","Sin Carriles: Sí","","","",""
"os_nolanes_off","Sin Carriles: No","","","",""
"os_rb3lanes_on","Carriles de RB3: Sí","","","",""
"os_rb3lanes_off","Carriles de RB3: No","","","",""
"os_odgain_on","Ganancia de Éxtasis: Sí","","","",""
"os_odgain_off","Ganancia de Éxtasis: No","","","",""
"os_practiceod_on","Éxtasis en Practica: Sí","","","",""
"os_practiceod_off","Éxtasis en Practica: No","","","",""
"os_synced_speeds_on","Sync Difficulty Speeds: ON","","","",""
"os_synced_speeds_off","Sync Difficulty Speeds: OFF","","","",""
"os_calibration_mode_on","Modo Calibración: Sí","","","",""
"os_calibration_mode_off","Modo Calibración: No","","","",""
"os_presicion_mode_on","Modo Precisión: Sí","","","",""
"os_presicion_mode_off","Modo Precisión: No","","","",""
"os_autoplay_on","Autoplay: Sí","","","",""
"os_autoplay_off","Autoplay: No","","","",""
"os_instafail_on","Fallo Insta.: Sí","","","",""
"os_instafail_off","Fallo Insta.: No","","","",""
"os_tough_crowd_on","Público difícil: Sí","","","",""
"os_tough_crowd_off","Público difícil: No","","","",""
"os_drunkmode_on","Modo Borracho: Sí","","","",""
"os_drunkmode_off","Modo Borracho: No","","","",""
"os_fc_sfx","Sonido de FC","","","",""
"os_ingame_sfx","Sonido en el Juego","","","",""
"os_menumusic","Musica en el Menú","","","",""
"os_whammy_fx_on","Efectos de Whammy: Sí","","","",""
"os_whammy_fx_off","Efectos de Whammy: No","","","",""
"os_miss_sounds_on","Sonido de Fallo: Sí","","","",""
"os_miss_sounds_off","Sonido de Fallo: No","","","",""
"os_muting_on","Silencio de Pista: SÍ","","","",""
"os_muting_off","Silencio de Pista: No","","","",""
"os_muting_partial","Silencio de Pista: Parcial","","","",""
"os_speedpitch_on","Compensación de tono: Sí","","","",""
"os_speedpitch_off","Compensación de tono: No","","","",""
"os_default","[Por Defecto]","","","",""
"os_random","[Aleatorio]","","","",""
"os_venue","Selecionar Lugar...","","","Usado por Rock Band 2",""
"os_venuefps_60","FPS del Lugar: 60","","","",""
"os_venuefps_30","FPS del Lugar: 30","","","",""
"os_camera_shake_on","Movimiento de Cámara: Sí","","","",""
"os_camera_shake_off","Movimiento de Cámara: No","","","",""
"os_crowdmeter_on","Medidor de Publico: Visible","","","",""
"os_crowdmeter_off","Medidor de Publico: Oculto","","","",""
"os_hud_theme","HUD en el Juego...","","","",""
"os_nohud_on","Modo intérprete: Sí","","","",""
"os_nohud_off","Modo intérprete: No","","","",""
"os_menu_themer","Tema del Menú...","","","",""
"os_resolution","Resolución...","","","",""
"os_source_in_song_select_on","Mostrar Fuente del Tema: Sí","","","",""
"os_source_in_song_select_off","Mostrar Fuente del Tema: No","","","",""
"os_gpu_crash_fix_on","Corrección de Drivers de GPU: Sí","","","",""
"os_gpu_crash_fix_off","Corrección de Drivers de GPU: No","","","",""
"os_static_menu_bg_on","Menu Estático: Sí","","","",""
"os_static_menu_bg_off","Menu Estático: No","","","",""
"os_hud_vis_default","Visibilidad: Por defecto","","","",""
