"token","value","do not translate","character limit","comment","last updated"
"instrument_options","Deluxe Settings","","","",""
"os_instrument_options","Instrument Options","","","",""
"os_gameplay","Gameplay Settings","","","",""
"os_sfx","Audio & SFX","","","",""
"os_visual","Visual Settings","","","",""
"os_track","Track Settings","","","",""
"os_controller","Controller Settings","","","",""
"os_extras","Extras","","","",""
"os_reset","Reset","","","",""
"version_number","%s","","","",""
"harmonix_splash_legal","","","","",""
