"token","value","do not translate","character limit","comment","last updated"
"instrument_options","Configurar Deluxe","","","Mexico parece usar configurar en vez de Opciones",""
"os_instrument_options","Configurar instrumento","","","Nuevo para dx",""
"os_gameplay","Configurar Juego","","","",""
"os_sfx","Configurar Audio y Sfx","","","",""
"os_visual","Configurar Graficos","","","",""
"os_track","Configurar Pista","","","",""
"os_controller","Configurar Control","","","",""
"os_extras","Extras","","","",""
"os_reset","Reset","","","",""
"nice_solo","Nice","","","",""
"choke_solo","Awesome Choke!","","","",""
"version_number","%s","","","",""
"harmonix_splash_legal","","","","",""
